"","Row.names","log2FoldChange","padj","Factor","trans"
"97","ko:K02726",0.234404438299191,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6781_c0_g3_i1"
"98","ko:K02726",0.234404438299191,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6781_c0_g1_i1"
"99","ko:K02728",-1.08844597413077,0.921136314961085,"Menthol_Menthol_vs_Control","TRINITY_DN5721_c0_g1_i1"
"100","ko:K02732",0.194056173698829,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7419_c0_g1_i1"
"101","ko:K02865",-0.301912308282006,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7617_c0_g1_i1"
"102","ko:K02866",-0.207594697595681,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7313_c0_g1_i1"
"103","ko:K02870",0.361685623789253,0.526110731479949,"Menthol_Menthol_vs_Control","TRINITY_DN9245_c0_g1_i1"
"104","ko:K02872",-0.820536715731469,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8160_c0_g2_i1"
"105","ko:K02873",0.433450187951428,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7127_c0_g1_i1"
"106","ko:K02877",1.09853067795636,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7188_c0_g1_i1"
"107","ko:K02880",-0.244418307199801,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8253_c0_g1_i1"
"108","ko:K02882",-0.210957926448308,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9152_c0_g1_i1"
"109","ko:K02885",-0.623013173937914,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8670_c0_g1_i1"
"110","ko:K02889",0.0749219027369186,0.95832973730345,"Menthol_Menthol_vs_Control","TRINITY_DN7443_c0_g1_i1"
"111","ko:K02896",-0.142798094035715,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7748_c0_g1_i1"
"112","ko:K02896",-0.142798094035715,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7610_c0_g1_i1"
"113","ko:K02898",-0.59954377898456,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7637_c0_g1_i1"
"114","ko:K02901",-0.159362412864289,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN17630_c0_g1_i1"
"115","ko:K02901",-0.159362412864289,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8392_c0_g1_i1"
"116","ko:K02905",0.0656339345877898,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8861_c0_g1_i1"
"117","ko:K02908",0.702584303607633,0.858091295328454,"Menthol_Menthol_vs_Control","TRINITY_DN18948_c0_g1_i1"
"118","ko:K02908",0.702584303607633,0.858091295328454,"Menthol_Menthol_vs_Control","TRINITY_DN8915_c0_g1_i1"
"119","ko:K02908",0.702584303607633,0.858091295328454,"Menthol_Menthol_vs_Control","TRINITY_DN18948_c0_g2_i1"
"120","ko:K02910",0.398795589669301,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6099_c0_g1_i1"
"121","ko:K02915",-0.0606043142048778,0.968235107160252,"Menthol_Menthol_vs_Control","TRINITY_DN8347_c0_g1_i1"
"122","ko:K02918",-0.315259699521242,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN5705_c0_g1_i1"
"123","ko:K02918",-0.315259699521242,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN5705_c0_g2_i1"
"124","ko:K02920",-0.222124876111173,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8637_c0_g1_i1"
"125","ko:K02923",-0.449583047208472,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN4420_c0_g1_i1"
"126","ko:K02924",-0.546749045120832,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6006_c0_g1_i1"
"127","ko:K02929",-0.707075170837546,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8062_c0_g2_i1"
"128","ko:K02929",-0.707075170837546,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN13571_c0_g1_i1"
"129","ko:K02929",-0.707075170837546,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8062_c0_g3_i1"
"130","ko:K02929",-0.707075170837546,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8062_c0_g1_i1"
"131","ko:K02932",-0.139074169524292,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9453_c0_g1_i1"
"132","ko:K02932",-0.139074169524292,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8136_c0_g1_i1"
"133","ko:K02936",-0.433824766629554,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8757_c0_g1_i1"
"134","ko:K02937",1.01249989635297,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7549_c0_g1_i1"
"135","ko:K02938",-0.486794190073902,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN2396_c0_g1_i1"
"136","ko:K02941",-0.391217103555077,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8198_c0_g1_i1"
"137","ko:K02947",-0.338942110309574,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN5313_c0_g1_i1"
"138","ko:K02949",0.360841558561434,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8718_c0_g1_i1"
"139","ko:K02951",0.613106880596303,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7101_c0_g1_i1"
"140","ko:K02953",0.632245672753957,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN14986_c0_g1_i1"
"141","ko:K02953",0.632245672753957,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8391_c0_g1_i1"
"142","ko:K02955",0.112266143729181,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9071_c0_g1_i1"
"143","ko:K02955",0.112266143729181,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9071_c0_g1_i2"
"144","ko:K02958",0.223629784026733,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8934_c0_g1_i1"
"145","ko:K02962",-0.424515850485427,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9098_c0_g1_i1"
"146","ko:K02966",0.414013720539101,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8258_c0_g1_i1"
"147","ko:K02969",-1.00517917709247,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN824_c0_g1_i1"
"148","ko:K02973",0.967803392322231,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7764_c0_g1_i1"
"149","ko:K02975",-0.748215897930476,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7459_c0_g1_i1"
"150","ko:K02976",-1.49566732071142,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8677_c0_g1_i1"
"151","ko:K02978",-0.597162455728685,0.657225943984336,"Menthol_Menthol_vs_Control","TRINITY_DN8097_c0_g1_i1"
"152","ko:K02980",-1.16397388425188,0.48439170483148,"Menthol_Menthol_vs_Control","TRINITY_DN8210_c0_g1_i2"
"153","ko:K02980",-1.16397388425188,0.48439170483148,"Menthol_Menthol_vs_Control","TRINITY_DN8210_c0_g1_i1"
"154","ko:K02983",0.513466332492615,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8698_c0_g1_i1"
"155","ko:K02984",0.837285264722124,0.700447932082297,"Menthol_Menthol_vs_Control","TRINITY_DN9087_c0_g1_i1"
"156","ko:K02985",-0.304767632243938,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8753_c0_g1_i1"
"157","ko:K02987",1.24908416016603,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9220_c0_g1_i1"
"158","ko:K02991",-0.103535366691543,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8801_c0_g1_i1"
"159","ko:K02992",-0.263308332298449,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7340_c0_g1_i1"
"160","ko:K02993",-0.77536374636335,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN8486_c0_g1_i1"
"161","ko:K02995",-0.0212612883692956,0.993574907595452,"Menthol_Menthol_vs_Control","TRINITY_DN8406_c0_g1_i1"
"162","ko:K03007",-0.357159000884223,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6976_c0_g2_i1"
"163","ko:K03007",-0.357159000884223,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6976_c0_g1_i1"
"164","ko:K03008",0.748974709028752,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN2486_c1_g1_i1"
"165","ko:K03031",0.206453945808184,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7344_c0_g1_i1"
"166","ko:K03083",0.051054364267559,0.952779697548788,"Menthol_Menthol_vs_Control","TRINITY_DN8336_c0_g1_i1"
"167","ko:K03113",-0.312383491395949,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8110_c0_g1_i1"
"168","ko:K03231",0.626648221089715,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9609_c0_g1_i1"
"169","ko:K03232",-1.96246071710928,0.425895623326305,"Menthol_Menthol_vs_Control","TRINITY_DN8282_c0_g1_i1"
"170","ko:K03233",-0.299351980981124,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9269_c0_g1_i1"
"171","ko:K03234",0.868184277081125,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9164_c0_g1_i1"
