"","log2FoldChange","padj","Factor"
"ko:K05758",-0.728739828457291,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K05759",-0.762094150632534,0.48439170483148,"Menthol_Menthol_vs_Control"
"ko:K06685",0.347881802459389,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K06689",-0.162950161212235,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K06704",0.551872838681639,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07151",-0.206149771200332,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07192",-0.194586583543687,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07205",-0.885854591045075,0.680216039400903,"Menthol_Menthol_vs_Control"
"ko:K07342",-0.25468091402628,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07375",0.135489748378026,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07509",-0.0809625878760191,0.948656212646734,"Menthol_Menthol_vs_Control"
"ko:K07827",0.419009976963869,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07874",0.395560550058907,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07887",0.0789914979027381,0.948656212646734,"Menthol_Menthol_vs_Control"
"ko:K07890",1.23523264156216,0.147212412629038,"Menthol_Menthol_vs_Control"
"ko:K07893",-0.399430420680884,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07901",-0.528852205417187,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07936",0.306193390216664,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K07937",0.0264686470245947,0.950793158257641,"Menthol_Menthol_vs_Control"
"ko:K07976",0.543428007852992,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K08056",-0.0864525588654543,0.987414359458405,"Menthol_Menthol_vs_Control"
"ko:K08548",0.136965077923179,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K08764",1.17911137536082,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K08870",-0.547264145221637,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K08957",0.924675193032351,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K09022",-0.467434651014846,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K09398",0.957311819274256,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K09481",0.116969090020904,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K09490",1.32207200347466,0.70367973349119,"Menthol_Menthol_vs_Control"
"ko:K09567",-1.28169999872307,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K09568",0.732206986801975,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K09569",1.60856708132569,0.358843857050748,"Menthol_Menthol_vs_Control"
"ko:K09580",0.0605568245578169,0.948656212646734,"Menthol_Menthol_vs_Control"
"ko:K09584",0.200173960992849,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K09595",-0.824705797262129,0.48439170483148,"Menthol_Menthol_vs_Control"
"ko:K10364",0.553310374400669,0.71468696182317,"Menthol_Menthol_vs_Control"
"ko:K10365",-0.154902283965007,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10418",0.384863257971158,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10419",0.273066783428733,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10420",0.0137045471869167,0.99588658467971,"Menthol_Menthol_vs_Control"
"ko:K10435",0.0746330005374121,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10573",0.903564603728766,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10575",-0.423723880616017,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10577",-0.839989731362754,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10580",0.0333698740323094,0.983715258986435,"Menthol_Menthol_vs_Control"
"ko:K10582",0.324324002254679,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10583",-0.995220500739738,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10688",-1.35885877143797,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10704",0.153647873003612,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K10949",0.057932955224936,0.976892934800774,"Menthol_Menthol_vs_Control"
"ko:K10956",0.873798596865171,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K11087",-0.358096925819548,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K11088",0.00962520106119762,0.99841623030614,"Menthol_Menthol_vs_Control"
"ko:K11099",0.685375145371026,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K11130",0.909831307266847,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K11188",-0.268713010971112,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K11251",1.06816546665677,0.48439170483148,"Menthol_Menthol_vs_Control"
"ko:K11252",-0.0827634068575594,0.945434144679215,"Menthol_Menthol_vs_Control"
"ko:K11254",0.0309449103372955,0.993574907595452,"Menthol_Menthol_vs_Control"
"ko:K11495",-0.76597918330896,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K11584",0.303787725486454,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K11884",-0.222542955592289,0.945434144679215,"Menthol_Menthol_vs_Control"
"ko:K11980",-0.59012036649937,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12158",-0.0902446771335554,0.950793158257641,"Menthol_Menthol_vs_Control"
"ko:K12194",-0.125615082260288,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12197",-0.0750718742086727,0.950793158257641,"Menthol_Menthol_vs_Control"
"ko:K12198",-1.49915045653107,0.70367973349119,"Menthol_Menthol_vs_Control"
"ko:K12393",0.538117037000714,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12621",0.540373633542125,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12622",-0.734382629811155,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12623",0.147565988651269,0.950793158257641,"Menthol_Menthol_vs_Control"
"ko:K12757",-0.0902643252279456,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12828",-0.0392049091858169,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12832",-0.126607865158509,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12833",-1.050534489507,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12859",-0.0610732025134152,0.976892934800774,"Menthol_Menthol_vs_Control"
"ko:K12877",-0.370129947829809,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K12947",-0.654232320820995,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K13025",-0.153908879502726,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K13126",0.271412401102284,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K13176",-0.771234820140745,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K13251",0.165698097017526,0.950793158257641,"Menthol_Menthol_vs_Control"
"ko:K13758",0.802145869026141,0.908181773245705,"Menthol_Menthol_vs_Control"
"ko:K13785",-2.67340168130828,1.53719285037661e-05,"Menthol_Menthol_vs_Control"
"ko:K14397",-0.232929549617513,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K14753",-0.133937542400411,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K14803",-0.749626272876851,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K14965",-6.17706969662182,2.67470772863859e-10,"Menthol_Menthol_vs_Control"
"ko:K15025",0.052398372887623,0.987414359458405,"Menthol_Menthol_vs_Control"
"ko:K15103",0.204423016019029,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K15620",-1.12273990974169,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K16186",1.6275293709434,0.146195138665075,"Menthol_Menthol_vs_Control"
"ko:K16197",-1.30023421550321,0.19397356327839,"Menthol_Menthol_vs_Control"
"ko:K16344",-1.25404287244794,0.526110731479949,"Menthol_Menthol_vs_Control"
"ko:K16575",-0.00891006493953704,0.99841623030614,"Menthol_Menthol_vs_Control"
"ko:K16794",-0.219719903486426,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17080",-0.29838042716709,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17081",-0.43036945693771,0.908181773245705,"Menthol_Menthol_vs_Control"
"ko:K17093",0.981663632673486,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17254",0.847708076316543,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17266",-0.98310489031156,0.48439170483148,"Menthol_Menthol_vs_Control"
"ko:K17268",0.33839568513865,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17497",-0.364290270354158,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17780",-0.775825743515289,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17795",0.831280355935611,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17918",-0.0916641983768721,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K17920",1.11877552404277,1.14421238174851e-06,"Menthol_Menthol_vs_Control"
"ko:K18269",-0.4837878815662,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K18466",-0.349405911444286,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K18617",0.579251045671254,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K19682",0.421260382852116,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K19765",0.0488014658355974,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K19788",1.81799846743862,0.858091295328454,"Menthol_Menthol_vs_Control"
"ko:K19931",-0.0454614969625742,0.95832973730345,"Menthol_Menthol_vs_Control"
"ko:K19932",-1.01032699941292,0.807351787764955,"Menthol_Menthol_vs_Control"
"ko:K20011",-0.125777710913028,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K20301",0.552092642167399,0.945222884667638,"Menthol_Menthol_vs_Control"
